"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","FP0.64","TP0.64","FN0.64","TN0.64","FP0.74","TP0.74","FN0.74","TN0.74","FP0.84","TP0.84","FN0.84","TN0.84","FP0.94","TP0.94","FN0.94","TN0.94","S1","S2","S3","S4"
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0.782760309998163,0.784149791343702,0.832076734774057,0.737305793733753
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.684668490916993,0.712609890423423,0.72841635628415,0.728078157958596
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.787315173087468,0.746445315455494,0.788411980620742,0.737839788325958
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.778480293186632,0.770630951837088,0.78332651258435,0.609345035151583
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0.656995174978232,0.773024841007747,0.786480794642837,0.516491850898675
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0.7583284913739,0.75096576574957,0.810319538415305,0.517516006658979
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.830962496149438,0.761245029486773,0.769642968549327,0.691660662269
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.645263826972782,0.76027260622561,0.815095268272021,0.410115605178817
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.716780798530595,0.713755812030857,0.739747423103411,0.736067292977374
0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.698280855228197,0.723609030992701,0.747006603995104,0.690874384070744
0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.76511782423943,0.714653929280719,0.759209777698409,0.686377153445445
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0.742168675984344,0.730798665953621,0.752991938549149,0.785056783626461
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.646465084260215,0.70209439440532,0.726669011244334,0.825933553686983
0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0.691949730459791,0.717894690090409,0.73999012707919,0.721760283687821
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.733152147629667,0.740986560220264,0.733700282750228,0.78379333446775
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.749353180932129,0.849150221608898,0.832405519322607,0.693464567074095
0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.670983632249635,0.732540019839012,0.761149744864211,0.655270136232059
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.722494834338817,0.727734374933528,0.718613972723348,0.777202961418237
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.766373263111462,0.752768068717117,0.762629763539046,0.65321230033882
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,1,4,1,994,1,4,1,994,1,3,2,994,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0.727792396082433,0.709867822247153,0.79130505467405,0.594253642574264
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.740573546407229,0.754319850921714,0.754433453707233,0.68394677410613
1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.706066275556098,0.730625872100131,0.71024314333324,0.615220639000787
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.722938137388409,0.748367191939883,0.774170478828046,0.775627136936948
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.660019285549584,0.759418062493012,0.799984225009849,0.808609000558534
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.703082274992753,0.724175265608747,0.749805947464253,0.573362071355328
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.786550051978056,0.782180915351147,0.772443735397901,0.700419967470277
0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,0,5,995,0.630535145896105,0.727965255223895,0.781977248207918,0.461949247172364
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.785879991287999,0.726283762190046,0.775996409785319,0.668628513467883
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.71904440877069,0.729057119314788,0.707722856066391,0.878110236711872
