"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","FP0.64","TP0.64","FN0.64","TN0.64","FP0.74","TP0.74","FN0.74","TN0.74","FP0.84","TP0.84","FN0.84","TN0.84","FP0.94","TP0.94","FN0.94","TN0.94","FP0.65","TP0.65","FN0.65","TN0.65","FP0.75","TP0.75","FN0.75","TN0.75","FP0.85","TP0.85","FN0.85","TN0.85","FP0.95","TP0.95","FN0.95","TN0.95","S1","S2","S3","S4","S5"
3,5,0,72,3,4,1,72,2,4,1,73,1,4,1,74,2,5,0,73,0,5,0,75,0,5,0,75,0,5,0,75,2,5,0,73,1,5,0,74,0,5,0,75,0,5,0,75,1,5,0,74,0,5,0,75,0,5,0,75,0,5,0,75,64,5,0,11,57,5,0,18,51,5,0,24,47,4,1,28,0.297193741608666,0.639883062434437,0.77692723882339,0.61850932353292,0.399956801911897
2,4,1,73,1,4,1,74,0,4,1,75,0,4,1,75,2,4,1,73,2,4,1,73,2,4,1,73,0,4,1,75,2,4,1,73,1,4,1,74,0,4,1,75,0,4,1,75,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,30,4,1,45,27,4,1,48,13,4,1,62,1,4,1,74,0.338190523874373,0.633584119729478,0.759230894166334,0.642329571493019,0.467302430156748
2,4,1,73,0,4,1,75,0,4,1,75,0,4,1,75,1,4,1,74,0,4,1,75,0,4,1,75,0,4,1,75,73,5,0,2,73,5,0,2,73,5,0,2,69,5,0,6,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,30,4,1,45,27,4,1,48,22,4,1,53,15,3,2,60,0.292463434717006,0.683316066918737,0.681162763835279,0.663849677413862,0.421693565720857
1,4,1,74,1,4,1,74,0,3,2,75,0,3,2,75,3,4,1,72,2,3,2,73,1,3,2,74,1,3,2,74,4,3,2,71,3,3,2,72,2,3,2,73,2,3,2,73,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,29,4,1,46,24,4,1,51,15,4,1,60,1,3,2,74,0.407222185969752,0.634000430858313,0.745197949101006,0.655726309819105,0.404220770076028
0,4,1,75,0,4,1,75,0,4,1,75,0,3,2,75,1,4,1,74,1,4,1,74,0,4,1,75,0,4,1,75,2,3,2,73,2,3,2,73,1,3,2,74,1,3,2,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,23,4,1,52,12,4,1,63,5,4,1,70,2,3,2,73,0.299382535687981,0.6770324968453,0.796372024852827,0.666609320591846,0.461707978760743
1,4,1,74,1,4,1,74,0,4,1,75,0,4,1,75,2,4,1,73,2,4,1,73,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,22,4,1,53,13,4,1,62,7,4,1,68,1,4,1,74,0.369647606381392,0.670294905025525,0.806627387496316,0.666674253833303,0.523212887271151
0,3,2,75,0,3,2,75,0,3,2,75,0,3,2,75,1,4,1,74,1,4,1,74,0,4,1,75,0,4,1,75,71,5,0,4,70,5,0,5,69,5,0,6,66,5,0,9,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,29,3,2,46,19,3,2,56,8,3,2,67,2,3,2,73,0.455467252267491,0.73219405533816,0.65013884345404,0.641407562889647,0.484373955277987
2,4,1,73,1,4,1,74,0,4,1,75,0,3,2,75,2,4,1,73,1,4,1,74,1,4,1,74,1,4,1,74,73,5,0,2,73,5,0,2,73,5,0,2,72,5,0,3,3,5,0,72,2,5,0,73,0,5,0,75,0,5,0,75,41,5,0,34,38,5,0,37,34,5,0,41,25,4,1,50,0.332268873756764,0.683011394992633,0.834617154404803,0.65290747687774,0.466310107448517
2,4,1,73,1,4,1,74,1,4,1,74,0,4,1,75,0,5,0,75,0,5,0,75,0,5,0,75,0,4,1,75,1,4,1,74,1,4,1,74,1,4,1,74,1,4,1,74,1,5,0,74,1,5,0,74,1,5,0,74,0,5,0,75,50,5,0,25,42,5,0,33,40,5,0,35,37,5,0,38,0.365963723766611,0.673062734941406,0.860115409677109,0.668763556649822,0.47466277661232
5,4,1,70,3,4,1,72,1,4,1,74,0,4,1,75,2,4,1,73,1,4,1,74,1,4,1,74,1,4,1,74,0,5,0,75,0,5,0,75,0,4,1,75,0,4,1,75,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,52,4,1,23,40,3,2,35,37,2,3,38,33,2,3,42,0.254017070472939,0.654176312394106,0.779174351858729,0.619953293869135,0.384645104396412
